Account,Sentiment,Total_Trades,Total_Volume_USD,Total_PnL,Avg_Trade_Size,Win_Rate,Avg_Fear_Greed_Value
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Fear,100,1507100.8600000003,124769.22144099999,15071.008600000003,0.37,17.8
0x083384f897ee0f19899168e3b1bec365f52a9012,Extreme Greed,945,11415855.67,-40282.33590399999,12080.27055026455,0.06666666666666667,78.39153439153439
0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,1778,30262439.89,1113373.547515,17020.494876265468,0.5264341957255343,37.6496062992126
0x083384f897ee0f19899168e3b1bec365f52a9012,Greed,574,8686990.84,276719.270187,15134.130383275262,0.1602787456445993,71.79094076655052
0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,421,9824876.71,125650.11674000001,23336.999311163898,0.5819477434679335,50.41330166270784
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Fear,170,366532.65,-4235.153050999999,2156.074411764706,0.3,16.86470588235294
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825,1523508.3,35658.894935,1846.6767272727272,0.576969696969697,76.83151515151515
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Fear,2622,2573742.54,-1658.736801,981.595171624714,0.4782608695652174,33.47597254004577
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943,6487032.05,30053.395556,2204.2242779476724,0.4016309887869521,64.77743798844716
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Neutral,720,1084672.1199999999,-11933.080124999999,1506.4890555555553,0.3611111111111111,49.231944444444444
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797,4886973.24,16706.884912,6131.710464240904,0.37641154328732745,18.0
0x271b280974205ca63b716753467d5a371de622ab,Extreme Greed,5,159708.3,1793.1602149999999,31941.659999999996,0.8,82.8
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868,13491850.52,30121.910490000002,7222.6180513918625,0.3822269807280514,36.90310492505353
0x271b280974205ca63b716753467d5a371de622ab,Greed,540,10486688.129999999,-100019.80637400002,19419.792833333333,0.24444444444444444,70.81111111111112
0x271b280974205ca63b716753467d5a371de622ab,Neutral,599,4848220.23,-19038.340561,8093.856811352254,0.0,47.04173622704508
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Fear,574,463208.61,-25666.012284,806.9836411149826,0.2874564459930314,19.817073170731707
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Extreme Greed,7481,3277267.08,108009.960644,438.0787434834915,0.4444592968854431,81.09103061088089
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399,917809.0700000001,13422.524859000001,656.0465117941387,0.4303073624017155,33.75553967119371
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970,1489279.85,31192.591971,501.44102693602696,0.4484848484848485,69.68686868686869
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Neutral,887,609457.49,5505.749364,687.0997632468997,0.46674182638105977,48.753100338218715
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112,277460.03,11415.247787,2477.3216964285716,0.6875,20.553571428571427
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Greed,1478,5039569.399999999,90895.05041,3409.7221921515556,0.4878213802435724,80.01353179972936
0x2c229d22b100a7beb69122eed721cee9b24011dd,Fear,381,584523.8600000001,3979.190771999999,1534.1833595800529,0.4330708661417323,34.648293963254595
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253,1022433.7599999999,20075.672949,4041.2401581027666,0.541501976284585,65.6205533596838
0x2c229d22b100a7beb69122eed721cee9b24011dd,Neutral,1015,3242893.15,42292.843076000005,3194.968620689655,0.5753694581280788,48.64630541871921
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Fear,263,426110.78,-56967.825773000004,1620.1930798479088,0.11026615969581749,21.96958174904943
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161,449446.74000000005,30992.181771000003,2791.5946583850937,0.45962732919254656,80.95652173913044
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Fear,256,338174.44999999995,-467.05889599999955,1320.9939453124998,0.6796875,35.00390625
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,102,156310.59,-3531.989984,1532.4567647058823,0.7254901960784313,61.372549019607845
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Neutral,33,39859.44000000001,-1228.907104,1207.8618181818185,0.6060606060606061,50.36363636363637
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Fear,1668,6740754.4399999995,-76179.494853,4041.2196882494,0.302158273381295,20.7757793764988
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115,546525.6299999999,14406.384864999998,4752.396782608695,0.4956521739130435,79.24347826086957
0x39cef799f8b69da1995852eea189df24eb5cae3c,Fear,1471,6207226.959999999,54685.021109,4219.732807613867,0.3222297756628144,34.057104010876955
0x39cef799f8b69da1995852eea189df24eb5cae3c,Greed,63,733557.1,10591.760255,11643.763492063492,0.4444444444444444,71.01587301587301
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,272,2965311.2899999996,10953.24796,10901.879742647057,0.41544117647058826,46.525735294117645
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Fear,19,64377.46,110.55336399999999,3388.2873684210526,1.0,18.0
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,206,554152.63,36870.155091,2690.061310679612,0.36893203883495146,81.22330097087378
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Fear,79,337546.24,4256.559308999999,4272.7372151898735,0.620253164556962,36.607594936708864
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Greed,26,124084.74999999999,4239.816383,4772.490384615384,0.5,69.8076923076923
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Neutral,2,63735.380000000005,8019.163096,31867.690000000002,0.5,46.5
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Fear,61,149251.28999999998,9461.082288,2446.7424590163932,0.04918032786885246,24.0
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Extreme Greed,108,347816.12000000005,4019.61859,3220.5196296296303,0.23148148148148148,80.4074074074074
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Fear,98,617413.63,99648.278349,6300.139081632653,0.35714285714285715,32.642857142857146
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Greed,68,670213.1399999999,12082.95,9856.075588235293,0.029411764705882353,71.63235294117646
0x420ab45e0bd8863569a5efbb9c05d91f40624641,Neutral,48,202833.43,74293.663505,4225.696458333333,0.5208333333333334,46.5
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Fear,79,440050.95,0.0,5570.2651898734175,0.0,18.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Extreme Greed,15,124285.34,124284.948775,8285.689333333334,1.0,78.0
0x430f09841d65beb3f27765503d0f850b8bce7713,Fear,237,601013.3300000001,5615.052102,2535.921223628692,0.10126582278481013,35.9746835443038
0x430f09841d65beb3f27765503d0f850b8bce7713,Greed,772,1174862.15,227680.491734,1521.842163212435,0.6373056994818653,63.7279792746114
0x430f09841d65beb3f27765503d0f850b8bce7713,Neutral,134,625897.45,58961.37973,4670.876492537313,0.5074626865671642,47.440298507462686
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Fear,391,224065.45999999996,-14527.442518000003,573.0574424552428,0.26342710997442453,19.314578005115088
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Extreme Greed,3150,1707644.17,67275.949439,542.1092603174603,0.34285714285714286,79.98095238095237
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,924,498888.4,9999.484228,539.9225108225108,0.37662337662337664,34.06709956709957
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3398,1667155.83,36566.483324,490.628555032372,0.3507945850500294,70.31959976456739
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Neutral,656,311075.04000000004,4029.241688,474.199756097561,0.43902439024390244,48.708841463414636
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Fear,986,10441684.57,166696.399486,10589.94378296146,0.3093306288032454,19.121703853955374
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,167,878585.3799999999,20496.054182,5260.990299401197,0.3592814371257485,75.66467065868264
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Fear,1396,18227807.740000002,296781.72285799996,13057.168868194844,0.40902578796561606,32.02865329512894
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Greed,1135,6357516.120000001,96392.78318600002,5601.3357885462565,0.5955947136563877,67.5215859030837
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Neutral,672,3667355.44,97380.090931,5457.3741666666665,0.7529761904761905,47.191964285714285
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Fear,371,9319233.83,74346.546606,25119.228652291105,0.42857142857142855,20.005390835579515
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Extreme Greed,2446,45776822.49,129217.68646,18714.972399836468,0.3336058871627146,78.70932134096483
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Fear,1156,17929601.08,-19126.158063999996,15510.035536332178,0.3555363321799308,33.358996539792386
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Greed,2334,34783947.19,79023.47149299999,14903.147896315337,0.34361610968294776,67.42759211653814
0x4f93fead39b70a1824f981a54d4e55b278e9f760,Neutral,1277,21862924.689999998,45514.323221,17120.536170712607,0.4267815191855912,49.130775254502744
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Fear,346,3336829.2199999997,-71121.820704,9644.015086705202,0.30346820809248554,21.664739884393065
0x513b8629fe877bb581bf244e326a047b249c4ff1,Extreme Greed,223,727332.0899999999,0.0,3261.5788789237663,0.0,79.38565022421524
0x513b8629fe877bb581bf244e326a047b249c4ff1,Fear,5981,225087033.35999998,367166.21692399995,37633.67887644206,0.3705066042467815,36.29125564286908
0x513b8629fe877bb581bf244e326a047b249c4ff1,Greed,3169,121999299.13999999,163047.664946,38497.72771852319,0.376459450930893,61.3234458819817
0x513b8629fe877bb581bf244e326a047b249c4ff1,Neutral,2517,69726062.55,381330.49405000004,27702.0510727056,0.5542312276519666,50.08462455303933
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Fear,143,146503.36,2037.258612,1024.4990209790208,0.3076923076923077,21.125874125874127
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Extreme Greed,171,106012.87,73192.07714200001,619.9583040935672,0.8947368421052632,82.21637426900585
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Fear,359,305149.82999999996,2040.359057,849.9995264623955,0.2200557103064067,33.81058495821727
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,241,132946.9,30203.401038000004,551.6468879668049,0.5062240663900415,68.98340248962656
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Neutral,61,37444.55,1258.120923,613.8450819672132,0.3770491803278688,47.85245901639344
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,509,3177278.1900000004,33979.99999999999,6242.196836935168,0.6129666011787819,18.605108055009822
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Greed,98,1811199.9800000002,0.0,18481.632448979595,0.0,87.0
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Fear,311,1330382.25,-58219.752261,4277.756430868168,0.1607717041800643,30.781350482315112
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Greed,593,5049640.49,453595.318176,8515.413979763913,0.31703204047217537,70.12141652613828
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Neutral,79,106000.01000000002,0.0,1341.772278481013,0.0,47.0
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Fear,221,577683.5599999999,198900.56161000003,2613.952760180995,0.42081447963800905,15.855203619909503
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Extreme Greed,227,588648.11,573.585288,2593.1634801762116,0.004405286343612335,80.55066079295155
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Fear,431,631747.95,144514.3446,1465.772505800464,0.6450116009280742,32.30858468677494
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Greed,494,1111813.49,63549.71113,2250.6345951417,0.13360323886639677,67.10728744939271
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,Neutral,57,141251.22,-4526.698469,2478.0915789473684,0.0,49.36842105263158
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,316,1079447.85,25672.838055,3415.97420886076,0.9145569620253164,22.873417721518987
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Greed,3831,12164067.59,210726.85526900002,3175.167734273036,0.8546071521795876,79.26050639519708
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Fear,1664,3316716.2299999995,49364.275663,1993.2188882211535,0.7794471153846154,36.99338942307692
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Greed,2618,6523818.28,95937.394195,2491.9091978609626,0.807868601986249,68.75935828877006
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Neutral,1464,2645447.29,-2605.9564709999995,1806.9995150273223,0.7151639344262295,47.99863387978142
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Fear,825,2847955.2800000003,3222.8221320000002,3452.067006060606,0.47393939393939394,18.189090909090908
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Extreme Greed,3,18780.48,1260.832586,6260.16,0.3333333333333333,77.0
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Fear,544,2004454.72,4036.5523189999994,3684.659411764706,0.46875,32.19485294117647
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Greed,83,329588.6,6775.291988,3970.946987951807,0.5301204819277109,70.32530120481928
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,Neutral,104,643705.37,-395.0559780000001,6189.474711538462,0.1346153846153846,45.15384615384615
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,159,816051.26,12713.493131,5132.397861635221,0.27672955974842767,20.0125786163522
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Greed,98,206332.51,-19135.913281,2105.433775510204,0.05102040816326531,77.81632653061224
0x8170715b3b381dffb7062c0298972d4727a0a63b,Fear,1745,4170375.08,151292.73285899998,2389.899759312321,0.2968481375358166,32.90372492836676
0x8170715b3b381dffb7062c0298972d4727a0a63b,Greed,1653,2908242.6799999997,-360101.898234,1759.3724621899576,0.5468844525105868,70.55293405928614
0x8170715b3b381dffb7062c0298972d4727a0a63b,Neutral,946,2042756.6,47610.460743999996,2159.362156448203,0.30655391120507397,48.05708245243129
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Fear,49,289506.08,-4825.496358,5908.287346938776,0.20408163265306123,23.46938775510204
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Extreme Greed,80,135211.26,11.717676000000012,1690.14075,0.025,77.375
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Fear,55,100479.48000000003,258.41533,1826.8996363636368,0.34545454545454546,36.45454545454545
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Greed,297,7343356.08,57108.91130000001,24725.104646464646,0.48148148148148145,70.41750841750842
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,1430,4130620.47,12960.109958,2888.5457832167835,0.3195804195804196,49.7013986013986
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Fear,539,738773.05,1774.309786,1370.6364564007422,0.2504638218923933,21.19109461966605
0x8477e447846c758f5a675856001ea72298fd9cb5,Extreme Greed,3986,3752401.08,56071.411053,941.3951530356247,0.3361766181635725,79.13948820873055
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,1474,1182485.92,9299.484548,802.2292537313432,0.32700135685210313,35.30393487109905
0x8477e447846c758f5a675856001ea72298fd9cb5,Greed,6804,4577661.859999999,-24036.539128,672.78980893592,0.19914756025867136,70.47648442092887
0x8477e447846c758f5a675856001ea72298fd9cb5,Neutral,2195,2053464.9300000002,808.3427169999986,935.5193302961277,0.28109339407744877,47.624601366742596
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Fear,68,653351.5000000001,3425.9609499999997,9608.110294117649,0.4852941176470588,23.0
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Extreme Greed,1549,3665028.12,63520.27468300001,2366.0607617817946,0.27953518398967075,77.0806972240155
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Fear,191,1513049.15,-621.54506,7921.723298429319,0.0,41.18848167539267
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Greed,1199,4734259.0,60254.251561,3948.5062552126774,0.3377814845704754,70.28023352793996
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,Neutral,45,426667.97,0.0,9481.510444444444,0.0,49.0
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Fear,270,162539.16999999998,1011.258943,601.9969259259259,0.22592592592592592,15.933333333333334
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Extreme Greed,3497,5836132.71,47791.24778199999,1668.89697169002,0.4235058621675722,81.13954818415785
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,2324,2722493.0,12934.469345000001,1171.4685886402754,0.31841652323580033,40.71600688468158
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,4115,4833683.86,35098.877549,1174.6497837181046,0.33754556500607535,65.67679222357229
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,5399,6313359.24,9467.021637000002,1169.3571476199297,0.31950361177995923,50.02130024078533
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Fear,5,1460.13,-961.048507,292.026,0.0,20.8
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Extreme Greed,256,417993.96,46411.26711,1632.78890625,0.51953125,78.59765625
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Fear,44,313640.09,-16719.913714,7128.183863636365,0.06818181818181818,34.52272727272727
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Greed,108,128086.16,44169.810737,1185.982962962963,0.9537037037037037,71.01851851851852
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,Neutral,4,629.0600000000001,-53.631353999999995,157.26500000000001,0.0,46.5
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Fear,80,316665.65,622.41079,3958.3206250000003,0.075,20.2125
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,190,643594.44,20925.513222,3387.3391578947367,0.5526315789473685,76.93684210526315
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Fear,123,293743.3,8129.3406589999995,2388.1569105691055,0.34959349593495936,38.91869918699187
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Greed,170,423422.33,38168.35486,2490.7195882352944,0.4470588235294118,63.51176470588236
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Fear,17,38053.979999999996,0.0,2238.4694117647055,0.0,23.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Extreme Greed,5,8647.35,15.24474,1729.47,0.2,79.0
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,455,3438057.09,14542.702934,7556.169428571428,0.3274725274725275,33.40879120879121
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Greed,5,9082.85,43.2005,1816.5700000000002,0.4,71.4
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Neutral,52,954481.99,7157.6835790000005,18355.422884615386,0.38461538461538464,46.13461538461539
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,739,1240856.4100000001,9544.906133999999,1679.1020433017593,0.3112313937753721,20.959404600811908
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Greed,1643,5161529.02,1105304.859175,3141.527096774193,0.5100426049908704,79.16859403530128
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Fear,3005,4792042.529999999,93165.161357,1594.689693843594,0.3271214642262895,32.58935108153078
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,5889,36284991.08,534058.2363300001,6161.486004415011,0.27322125997622687,66.66496858549839
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Neutral,3457,9064146.190000001,401309.434693,2621.9688140005787,0.3780734741105004,48.7413942724906
0xb899e522b5715391ae1d4f137653e7906c5e2115,Extreme Fear,1577,32610576.830000002,-33221.806818000005,20678.86926442613,0.33608116677235256,21.178820545339253
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,2947,68691467.31,51692.358711,23308.947170003394,0.5110281642348151,30.048523922633187
0xb899e522b5715391ae1d4f137653e7906c5e2115,Neutral,314,7574996.959999999,4017.9489279999993,24124.194140127387,0.27388535031847133,46.11464968152866
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Extreme Fear,4480,19924907.689999998,261917.97779200002,4447.524037946428,0.3794642857142857,21.0484375
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Fear,12437,40734967.95,620872.375844,3275.304973064244,0.4982712872879312,30.23003939856879
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Greed,5,356.16999999999996,4.672458,71.234,0.2,68.8
0xbaaaf6571ab7d571043ff1e313a9609a10637864,Neutral,4270,7376108.43,57368.780126000005,1727.4258618266979,0.47096018735363,49.0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Fear,387,3876163.91,37712.523409,10015.927416020671,0.25064599483204136,17.689922480620154
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Extreme Greed,310,893183.5,6053.160570000001,2881.2370967741936,0.08387096774193549,77.49032258064516
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Fear,1181,10712789.219999999,236797.72773699998,9070.94768839966,0.4987298899237934,33.9813717188823
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,350,839231.03,30258.203855,2397.802942857143,0.24285714285714285,70.85428571428571
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Neutral,413,4416024.05,-90302.55371799998,10692.552179176755,0.16464891041162227,49.93462469733656
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,5079,7342854.15,30774.092128,1445.72832250443,0.41327032880488285,18.060838747785
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Greed,6723,16527882.25,478811.46818500006,2458.4087832812734,0.5963111706083594,78.65223858396548
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Fear,12901,19395677.62,55978.79696000001,1503.4243562514534,0.37655995659251223,31.844973257886984
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Greed,7338,17601612.08,243399.51314000002,2398.693387844099,0.4647042790951213,69.09225947124557
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,8143,13239784.34,27116.682664,1625.9099029841582,0.34778337222154,47.61611199803512
